www2024-07-02 16:47:06 INFO  c.A.ApiProject.ApiProjectApplication - Starting ApiProjectApplication using Java 22.0.1 with PID 260004 (/home/mohit.kumar/Documents/ApiProject/target/classes started by mohit.kumar in /home/mohit.kumar/Documents/ApiProject)
2024-07-02 16:59:58 WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-07-02 16:59:59 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-07-02 16:59:59 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-07-02 16:59:59 INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-07-02 17:00:00 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-07-02 17:00:00 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-07-02 17:00:00 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-07-02 17:00:00 INFO  c.A.ApiProject.ApiProjectApplication - Started ApiProjectApplication in 4.641 seconds (process running for 5.486)
2024-07-02 17:00:11 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-02 17:00:11 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-07-02 17:00:11 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-07-02 17:00:11 WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' is not supported]
2024-07-03 10:10:50 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-07-03 10:10:50 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-07-03 10:10:50 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-07-03 10:23:20 INFO  c.A.ApiProject.ApiProjectApplication - Starting ApiProjectApplication using Java 22.0.1 with PID 303072 (/home/mohit.kumar/Documents/ApiProject/target/classes started by mohit.kumar in /home/mohit.kumar/Documents/ApiProject)
2024-07-03 10:23:20 INFO  c.A.ApiProject.ApiProjectApplication - No active profile set, falling back to 1 default profile: "default"
2024-07-03 10:23:20 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-07-03 10:23:20 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 34 ms. Found 3 JPA repository interfaces.
2024-07-03 10:23:20 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-07-03 10:23:20 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-07-03 10:23:20 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
